label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13	col_14
4	859 m/(s^2)	0.7488 N	ice hockey	Technology and Information Management	851	786	781	507 m^2	0.46 m/s	0.2996	0.2438	317	0.6224	540	hamster
5	51 m/(s^2)	0.48 N	running	Robotics Engineering, Computer Science	87	311	263	690 m^2	0.6286 m/s	0.4854	-0.0546	1030	0.2882	271	pig
6	189 m/(s^2)	0.5401 N	golf	Data Science	722	311	672	830 m^2	0.2554 m/s	0.0212	0.3232	515	0.9821	635	guinea pig
6	43 m/(s^2)	0.5044 N	golf	Data Science	682	583	478	579 m^2	0.1995 m/s	-0.0878	0.6015	424	0.926	765	guinea pig
1	514 m/(s^2)	0.2491 N	badminton	Bioinformatics	36	None	138	983 m^2	0.1839 m/s	0.735	0.4812	644	0.7366	86	pig
4	540 m/(s^2)	1.0037 N	ice hockey	Data Science	975	507	589	453 m^2	0.3764 m/s	0.5861	0.2489	122	0.678	481	HAMSTER
6	-17 m/(s^2)	0.4709 N	golf	Data Science	922	361	496	916 m^2	0.1096 m/s	0.026	0.2171	254	0.8298	491	guinea pig
2	637 m/(s^2)	-0.0729 N	soccer	Human Computer Interaction, Games and Playable Media	494	758	1170	203 m^2	0.225 m/s	0.2324	0.6709	291	0.0303	861	cat
6	146 m/(s^2)	0.5364 N	track & field	Data Science	604	318	598	859 m^2	0.2369 m/s	-0.0969	0.3727	101	0.8105	591	guinea pig
2	839 m/(s^2)	0.013 N	soccer	Games and Playable Media, Biotechnology	436	856	951	205 m^2	0.0252 m/s	0.0841	0.5607	503	0.0555	965	cat
3	962 m/(s^2)	0.4202 N	track & field	Applied Mathematics	929	296	247	629 m^2	0.6903 m/s	0.9663	0.7883	1008	0.3307	822	dog
0	198 m/(s^2)	0.7692 N	boxing	Statistics	369	None	592	122 m^2	0.694 m/s	0.6553	0.7458	214	0.2458	-118	rabbit
2	771 m/(s^2)	-0.0813 N	soccer	Games and Playable Media	783	705	1104	343 m^2	0.0638 m/s	0.4635	0.6019	285	0.0266	889	cat
0	204 m/(s^2)	0.9095 N	boxing	Bioengineering	397	1283	705	-27 m^2	0.8321 m/s	0.795	0.8939	-96	0.3347	10	rabbit
6	196 m/(s^2)		golf	Data Science	837	343	464	830 m^2	0.2348 m/s	0.0569	0.1973	287	?	940	guinea pig
0	171 m/(s^2)	0.6496 N	football	Bioengineering	361	1045	882	-26 m^2	0.9575 m/s	0.6378	0.7359	324	0.2935	93	rabbit
3	1021 m/(s^2)	0.4035 N	motor sports	Electrical Engineering, Computer Engineering	878	582	-46	796 m^2	0.4167 m/s	1.1237	0.9678	951	0.2424	875	dog
3	923 m/(s^2)	0.4333 N	basketball	Applied Mathematics, Computer Engineering	913	590	255	637 m^2	0.8682 m/s	0.9624	0.6685	791	0.1548	965	chicken
6	-168 m/(s^2)	0.507 N	golf	Data Science	515	500	330	833 m^2	0.2841 m/s	0.002	-0.0157	288	1.1833	724	guinea pig
5	-140 m/(s^2)	0.6222 N	running	Computer Science, Computational Media	170	-74	249	442 m^2	0.6891 m/s	0.5302	-0.0581	1156	0.2637	536	ferret
5	-71 m/(s^2)	0.4622 N	running	Robotics Engineering	268	-13	137	691 m^2	0.7476 m/s	0.4227	0.0764	908	0.434	400	pig
3	927 m/(s^2)	0.3455 N	tennis	Computer Engineering	990	503	154	634 m^2	0.6851 m/s	0.8579	0.993	870	0.2283	934	chicken
0	166 m/(s^2)	0.8117 N	boxing	Statistics	424	714	889	-59 m^2	0.9593 m/s	0.4293	0.6694	96	0.483	-22	rabbit
5	-12 m/(s^2)	0.5991 N	tennis	Robotics Engineering	185	224	325	377 m^2	0.8765 m/s	0.7368	n/a	923	0.5298	170	pig
2	540 m/(s^2)	-0.0166 N	soccer	Biotechnology, Games and Playable Media	408	647	963	196 m^2	0.1166 m/s	0.5097	0.5051	340	0.0096	964	cat
0	448 m/(s^2)	0.7725 N	boxing	Statistics	333	1018	802	79 m^2	0.8669 m/s	0.7556	0.6753	149	0.1684	178	guinea pig
3	823 m/(s^2)	0.3651 N	NULL	Electrical Engineering	869	441	-16	546 m^2	0.5675 m/s	0.8758	1.033	857	0.2764	933	dog
0	392 m/(s^2)	0.7998 N	boxing	Bioengineering	205	1064	747	67 m^2	0.6058 m/s	0.8585	0.858	368	0.3331	-24	rabbit
5	-34 m/(s^2)	0.3582 N	running	Computer Science	253	99	279	309 m^2	0.8093 m/s	0.4888	-0.0837	1180	0.4447	631	pig
4	770 m/(s^2)	0.8448 N	ice hockey	Technology and Information Management	973	793	619	364 m^2	0.4356 m/s	0.2847	0.2124	-33	0.6042	450	hamster
2	877 m/(s^2)	?	soccer	Games and Playable Media	523	748	915	104 m^2	0.2307 m/s	0.3195	0.378	648	0.3393	973	cat
5	5 m/(s^2)	0.4663 N	RUNNING	Robotics Engineering, Computer Science	267	247	500	719 m^2	0.7601 m/s	0.3616	0.138	1110	0.4409	221	pig
6	263 m/(s^2)	0.6766 N	golf	Data Science	781	319	475	686 m^2	0.2731 m/s	0.0427	0.2996	299	0.8995	797	guinea pig
4	690 m/(s^2)	0.8471 N	ice hockey	Technology and Information Management	943	757	628	253 m^2	0.5322 m/s	0.2902	-0.053	-80	0.9188	466	dog
2	751 m/(s^2)	-0.0547 N	ice hockey	Biotechnology	732	481	926	46 m^2	0.0331 m/s	0.1195	0.5642	479	0.1333	890	cat
3	935 m/(s^2)	0.5426 N	BASKETBALL	Natural Language Processing, Computer Engineering, Electrical Engineering	638	316	-258	815 m^2	0.6701 m/s	0.8429	0.7762	773	0.577	827	chicken
2	606 m/(s^2)	0.0887 N	soccer	Bioinformatics	493	659	1109	50 m^2	0.1445 m/s	0.161	0.5728	456	0.0693	1040	reptile
4	832 m/(s^2)	0.935 N	ice hockey	Technology and Information Management	969	608	N/A	255 m^2	0.6071 m/s	0.4772	0.1514	64	0.8615	632	hamster
5	112 m/(s^2)	0.2001 N	football	Robotics Engineering, Computer Science	411	-47	516	606 m^2	0.7584 m/s	0.5104	0.2959	938	0.6092	192	pig
4	863 m/(s^2)	0.8486 N	ice hockey	TECHNOLOGY AND INFORMATION MANAGEMENT	1030	934	817	256 m^2	0.5319 m/s	0.2996	0.3257	97	0.6985	262	hamster
5	122 m/(s^2)	0.3414 N	RUNNING	Computer Science	241	508	456	478 m^2	0.8135 m/s	0.3469	-0.0294	1111	0.722	324	pig
6	4 m/(s^2)	0.6019 N	golf	dATA sCIENCE	651	391	437	768 m^2	0.1808 m/s	0.0023	0.1967	445	1.0336	822	guinea pig
2	859 m/(s^2)	0.0184 N	soccer	Games and Playable Media	N/A	695	835	211 m^2	0.2797 m/s	0.4728	0.5535	560	0.0395	1204	reptile
5	163 m/(s^2)	0.5718 N	football	Robotics Engineering	94	128	353	636 m^2	1.0199 m/s	0.4229	-0.03	1122	0.4745	484	ferret
3	882 m/(s^2)	0.3155 N	football	natural language processing	898	576	227	610 m^2	0.4358 m/s	0.7625	1.0193	708	0.3804	1146	Bird
5	-105 m/(s^2)	0.3718 N	running	human computer interaction, biotechnology	123	14	25	597 m^2	0.9838 m/s	0.2285	-0.001	1064	0.4225	332	ferret
6	106 m/(s^2)	0.5203 N	golf	Data Science	531	369	586	683 m^2	0.3145 m/s	0.101	0.2438	503	1.2276	674	Guinea Pig
5	-95 m/(s^2)	0.4574 N	running	computer science	203	257	663	655 m^2	0.773 m/s	0.4009	0.0567	1083	0.4628	204	ferret
0	182 m/(s^2)	0.7651 N	ice hockey	Statistics	468	913	760	41 m^2	0.8515 m/s	0.6598	0.778	195	0.4073	-22	rabbit
6	194 m/(s^2)	0.7748 N	soccer	Data Science	479	330	532	713 m^2	0.1414 m/s	-0.0757	0.4497	361	0.7957	587	guinea pig
0	26 m/(s^2)	0.5649 N	boxing	Bioengineering	298	889	833	-40 m^2	0.832 m/s	0.7337	0.8649	121	0.3549	-29	rabbit
2	868 m/(s^2)	-0.1343 N	SOCCER	Biotechnology, Games and Playable Media	366	455	816	185 m^2	0.1072 m/s	0.2452	0.5441	539	0.0723	815	cat
0	339 m/(s^2)	0.6688 N	boxing	Statistics	328	972	961	82 m^2	0.703 m/s	0.6856	0.6849	63	0.2412	64	rabbit
4	767 m/(s^2)	1.041 N	ice hockey	Technology and Information Management	953	657	703	450 m^2	0.5062 m/s	0.3307	0.2385	53	0.598	448	hamster
2	868 m/(s^2)	0.2032 N	ice hockey	Games and Playable Media, Biotechnology	n/a	694	918	328 m^2	0.1084 m/s	0.346	0.492	580	0.1327	888	reptile
1	329 m/(s^2)	0.1638 N	baseball	Computer Game Design	-22	-4	254	955 m^2	0.3146 m/s	0.6486	0.6873	942	0.9425	232	fish
1	455 m/(s^2)	0.2344 N	basketball	Computer Game Design	55	211	339	807 m^2	0.229 m/s	0.4926	0.54	619	0.7671	198	dog
5	-90 m/(s^2)	0.3775 N	football	Robotics Engineering	364	186	169	895 m^2	0.7179 m/s	0.466	-0.234	983	0.3776	313	ferret
1	310 m/(s^2)	0.3701 N	volleyball	Bioinformatics	21	261	185	1094 m^2	0.3238 m/s	0.443	0.838	798	0.7518	207	rat
2	774 m/(s^2)	0.1165 N	basketball	Biotechnology	573	587	1112	7 m^2	0.3041 m/s	0.3568	0.6744	605	-0.1398	985	bird
5	70 m/(s^2)	0.6222 N	football	Computational Media	62	25	417	549 m^2	0.9093 m/s	0.5362	0.1333	1131	0.0393	241	pig
3	780 m/(s^2)	0.2899 N	track & field	Applied Mathematics	844	311	338	732 m^2	0.5065 m/s	0.692	0.6727	765	0.3528	829	dog
4	818 m/(s^2)	0.8149 N	ice hockey	Technology and Information Management	933	918	NULL	359 m^2	0.5897 m/s	0.401	0.0601	3	0.9441	284	hamster
4	826 m/(s^2)	1.0101 N	football	Technology and Information Management	930	685	697	375 m^2	0.4197 m/s	0.2362	0.0693	397	0.8614	243	hamster
6	139 m/(s^2)	0.5729 N	golf	Human Computer Interaction, Biotechnology	727	459	190	749 m^2	0.3216 m/s	-0.1075	0.2852	495	1.0578	675	pig
6	318 m/(s^2)	0.6007 N	golf	Data Science	512	556	469	580 m^2	0.2195 m/s	0.1215	0.3326	260	1.0836	759	guinea pig
3	1069 m/(s^2)	0.4621 N	golf	Bioengineering	866	259	218	642 m^2	0.4353 m/s	0.6765	0.8109	860	0.2929	848	chicken
0	314 m/(s^2)	0.603 N	boxing	Statistics	249	1070	976	102 m^2	0.8742 m/s	0.9251	0.7499	84	0.3107	20	rabbit
3	713 m/(s^2)	0.4992 N	soccer	Applied Mathematics	822	315	-3	539 m^2	0.4549 m/s	0.9809	0.8289	723	0.2684	879	chicken
4	557 m/(s^2)	1.0086 N	ice hockey	Technology and Information Management	1009	903	513	377 m^2	0.4668 m/s	0.2587	0.0256	179	0.6839	523	hamster
4	645 m/(s^2)	0.9503 N	soccer	Technology and Information Management	1050	644	624	286 m^2	0.4728 m/s	0.3365	0.0092	-111	0.6802	435	hamster
1	441 m/(s^2)	0.3734 N	boxing	Computer Game Design	191	238	66	905 m^2	0.3475 m/s	0.7389	0.4584	305	0.8408	279	rat
3	922 m/(s^2)	-0.0637 N	track & field	Electrical Engineering, Applied Mathematics, Natural Language Processing	1048	261	261	742 m^2	0.6997 m/s	0.8081	0.9951	861	0.1697	785	chicken
5	110 m/(s^2)	0.5871 N	running	Computer Science, Robotics Engineering	236	115	102	614 m^2	0.6501 m/s	0.617	-0.0509	902	0.6236	137	ferret
6	245 m/(s^2)	0.5042 N	golf	Data Science	628	438	538	768 m^2	0.181 m/s	-0.0046	0.2781	433	1.0276	525	guinea pig
1	421 m/(s^2)	0.1493 N	baseball	Computer Game Design	236	134	411	1104 m^2	0.2771 m/s	0.6619	0.704	629	0.7976	442	rat
4	953 m/(s^2)	0.8389 N	ice hockey	Technology and Information Management	965	697	670	187 m^2	0.3292 m/s	0.1966	0.1937	-56	0.7176	639	hamster
5	-40 m/(s^2)	0.5004 N	golf	Robotics Engineering	281	37	365	794 m^2	0.5777 m/s	0.4751	0.0654	1108	0.8503	557	pig
0	153 m/(s^2)	0.882 N	n/a	Technology and Information Management	220	1044	762	120 m^2	0.8965 m/s	0.6319	0.761		0.1261	34	rabbit
1	423 m/(s^2)	0.2955 N	volleyball	Natural Language Processing	138	378	298	899 m^2	0.2628 m/s	0.6575	0.5644	724	0.6801	149	rat
3	1126 m/(s^2)	0.3428 N	motor sports	Electrical Engineering, Computer Engineering	623	414	261	588 m^2	0.5994 m/s	1.0237	0.9435	807	-0.1124	902	dog
4	705 m/(s^2)	0.9325 N	ice hockey	Data Science	1244	768	766	412 m^2	0.3985 m/s	0.3258	0.1906	0	0.8018	323	hamster
6	184 m/(s^2)	0.5426 N	golf	Human Computer Interaction	645	394	337	909 m^2	0.2098 m/s	0.2176	0.2998	353	1.0687	716	guinea pig
5	120 m/(s^2)	0.4229 N	running	Robotics Engineering, Computer Science	293	104	198	801 m^2	0.5742 m/s	0.2919	0.1466	1110	0.5264		ferret
6	22 m/(s^2)	0.6333 N	boxing	Data Science	746	341	642	766 m^2	0.202 m/s	0.0657	0.2222	436	1.0229	794	guinea pig
2	781 m/(s^2)	0.0664 N	soccer	Games and Playable Media, Biotechnology	457	762	1159	198 m^2	0.2104 m/s	0.3987	0.4867	355	0.0271	928	reptile
0	98 m/(s^2)	0.6801 N	boxing	Statistics	364	987	671	5 m^2	0.8658 m/s	0.7758	0.84	170	0.2291	-53	rabbit
4	623 m/(s^2)	1.062 N	ice hockey	Technology and Information Management	864	731	732	433 m^2	0.4393 m/s	0.4064	0.2185	-233	0.7955	419	hamster
4	715 m/(s^2)	0.8449 N	ice hockey	Technology and Information Management	839	718	590	252 m^2	0.3866 m/s	0.3672	0.11	158	0.9759	435	hamster
6	119 m/(s^2)	0.2748 N	golf	Data Science	761	445	252	696 m^2	0.2967 m/s	0.0385	0.1753	578	1.1728	425	guinea pig
6	201 m/(s^2)	0.5468 N	golf	Data Science	657	204	363	770 m^2	0.2148 m/s	0.1948	0.4104	372	0.7692	601	reptile
5	76 m/(s^2)	0.5204 N	football	Bioinformatics	345	204	324	649 m^2	0.5826 m/s	0.7031	0.3167	1087	0.4111	486	pig
5	33 m/(s^2)	0.7131 N	badminton	Games and Playable Media, Human Computer Interaction	493	-63	535	664 m^2	0.6365 m/s	0.4746	0.0649	1081	0.3574	433	pig
6	224 m/(s^2)	0.469 N	volleyball	Bioengineering	525	292	419	776 m^2	0.3013 m/s	0.1364	0.5678	357	0.8241	639	guinea pig
5	57 m/(s^2)	0.3866 N	football	Computer Science, Robotics Engineering	240	100	381	456 m^2	0.6296 m/s	0.5459	-0.1415	973	0.7179	106	ferret
1	435 m/(s^2)	0.1748 N	baseball	Computer Game Design	-34	180	192	1123 m^2	0.362 m/s	0.5587	0.8575	725	0.9833	51	fish
4	701 m/(s^2)	0.7819 N	ice hockey	Technology and Information Management	951	779	622	514 m^2	0.4454 m/s	0.4752	0.075	-63	0.8715	754	hamster
6	229 m/(s^2)	0.5501 N	golf	Data Science	666	524	377	784 m^2	0.2218 m/s	-0.1	0.4699	310	1.177	536	guinea pig
3	930 m/(s^2)	0.5535 N	ice hockey	Computer Engineering, Electrical Engineering, Applied Mathematics	723	450	118	688 m^2	0.6767 m/s	0.957	0.9597	880	0.102	894	pig
1	453 m/(s^2)	0.4276 N	badminton	Computer Game Design	16	154	242	1044 m^2	0.4008 m/s	0.6845	0.4519	655	0.6646	205	bird
4	?	0.8382 N	ice hockey	TECHNOLOGY AND INFORMATION MANAGEMENT	851	N/A	742	482 m^2	0.479 m/s		0.0999	183	0.6368	734	hamster
6	158 m/(s^2)	0.6494 N	golf	Data Science	551	589	441	887 m^2	0.0729 m/s	-0.0324	0.2485	468	0.7208	707	guinea pig
0	419 m/(s^2)	0.7178 N	running	Bioengineering	402	768	644	205 m^2	1.1307 m/s	0.6516	0.8584	293	0.4011	65	rabbit
0	371 m/(s^2)	0.8593 N	boxing	Statistics	441	878	887	-64 m^2	0.8279 m/s	0.9487	0.8982	97	0.3275	-52	rabbit
6	-6 m/(s^2)	0.5579 N	golf	Technology and Information Management	731	316	450	705 m^2	0.2016 m/s	-0.0104	0.1939	365	0.7992	708	ferret
0	228 m/(s^2)	0.7972 N	boxing	Bioengineering	407	1040	838	-123 m^2	0.9384 m/s	0.8312	0.6122	123	0.1089	-10	rabbit
5	277 m/(s^2)	0.432 N	running	Data Science	NULL	60	383	686 m^2	0.6191 m/s	0.5722	0.2197	700	0.3466	469	pig
2	717 m/(s^2)	0.0374 N	soccer	Games and Playable Media	507	681	1196	213 m^2	-0.0443 m/s	0.2051	0.4362	433	0.0248	907	cat
5	-98 m/(s^2)	0.6316 N	football	Robotics Engineering, Computer Science	47	254	146	357 m^2	0.7557 m/s	N/A	-0.1606	1117	0.5987	216	pig
0	452 m/(s^2)	0.9068 N	soccer	Bioengineering	333	943	676	42 m^2	1.0042 m/s	0.7471	0.6142	169	0.3992	-61	rabbit
4	639 m/(s^2)	0.9431 N	golf	Technology and Information Management	1074	725	822	520 m^2	0.5867 m/s	0.1738	0.3145	149	0.5041	357	hamster
5	-102 m/(s^2)	0.4877 N	football	Statistics	154	355	431	635 m^2	0.8681 m/s	0.4566	0.1147	934	0.3655	507	ferret
3	941 m/(s^2)	0.3401 N	golf	Electrical Engineering	844	405	-43	573 m^2	0.7141 m/s	0.6215	0.8065	889	0.0459	931	chicken
2	806 m/(s^2)	-0.0706 N	ice hockey	Computer Game Design	679	624	988	153 m^2	0.0819 m/s	0.3764	0.6686	346	-0.1215	993	cat
5	40 m/(s^2)	0.34 N	football	Bioengineering	157	216	276	513 m^2	0.8372 m/s	n/a	-0.0181	1125	0.4811	316	pig
6	69 m/(s^2)	0.3928 N	tennis	Data Science	587	425	415	942 m^2	0.2013 m/s	0.0968	0.4159	350	0.666	455	guinea pig
0	362 m/(s^2)	0.7543 N	boxing	Statistics	313	846	739	0 m^2	0.8224 m/s	0.7049	0.5421	199	0.6781	196	rabbit
4	889 m/(s^2)	1.0653 N	ice hockey	Technology and Information Management	931	873	501	443 m^2	0.5962 m/s	0.3031	0.2679	132	0.6605	557	hamster
3	1020 m/(s^2)	0.318 N	soccer	Computer Engineering	848	266	-117	561 m^2	0.6108 m/s	0.8725	0.6457	830	0.0609	952	dog
2	756 m/(s^2)	0.1319 N	basketball	Games and Playable Media, Biotechnology	696	582	1068	395 m^2	0.2182 m/s	0.4487	0.6786	574	0.1884	1100	reptile
5	-79 m/(s^2)	0.448 N	NULL	Computer Game Design	314	144	318	614 m^2	0.9064 m/s	0.6351	-0.1488	1154	0.3084	508	pig
1	525 m/(s^2)	0.0618 N	running	Bioengineering	215	262	58	835 m^2	0.4246 m/s	0.6191	0.5657	712	0.8469	311	FISH
1	361 m/(s^2)	0.3409 N	ICE HOCKEY	Bioinformatics	65	376	463	1014 m^2	0.3453 m/s	0.6718	0.827	579	0.6174	286	bird
5	160 m/(s^2)	0.5011 N	football	Applied Mathematics	303	42	210	618 m^2	n/a	0.5099	-0.1105	979	0.5809	480	pig
5	134 m/(s^2)	0.6273 N	running	Computational Media, Computer Science	214	-55	226	624 m^2	0.9827 m/s	0.3538	0.074	918	0.2816	191	ferret
2	849 m/(s^2)	0.1536 N	soccer	Data Science	449	498	1163	194 m^2	0.1552 m/s	0.5566	0.502	456	0.2122	869	reptile
0	377 m/(s^2)	0.6079 N	boxing	BIOENGINEERING	333	933	650	-152 m^2	0.9305 m/s	0.8287	0.8566	190	0.2815	-105	rabbit
3	890 m/(s^2)	0.3765 N	track & field	Computer Science	784	557	78	413 m^2	0.7081 m/s	0.9636	0.8682	633	0.1936	918	chicken
0	291 m/(s^2)	0.8219 N	ice hockey	Bioengineering	411	806	1045	130 m^2	0.912 m/s	0.654	0.7242	182	0.2615	21	rabbit
0	265 m/(s^2)	0.9924 N	boxing	Biotechnology, Games and Playable Media	311	1412	782	60 m^2	0.9613 m/s	0.9609	0.8122	212	0.391	-80	rabbit
0	250 m/(s^2)	0.6044 N	boxing	Bioengineering	484	1001	914	-145 m^2	0.7107 m/s	1.0046	0.9598	340	0.0707	127	chicken
0	456 m/(s^2)	0.7981 N	boxing	Statistics	325	929	900	58 m^2	0.8928 m/s	0.6814	0.7584	17	0.3509	120	rabbit
1	197 m/(s^2)	0.3944 N	running	Bioinformatics	115	-200	107	909 m^2	0.4813 m/s	0.5956	0.6085	385	0.6242	270	rabbit
2	519 m/(s^2)	-0.0194 N	SOCCER	Human Computer Interaction	502	629	819	150 m^2	0.1347 m/s	0.4075	0.5695	370	0.154	795	reptile
2	691 m/(s^2)	0.0589 N	soccer	Games and Playable Media, Biotechnology	662	548	949	312 m^2	0.3035 m/s	0.1829	0.6668	481	-0.1484	1020	hamster
2	633 m/(s^2)	0.356 N	soccer	Data Science	566	709	965	123 m^2	0.041 m/s	0.3685	0.5419	463	0.0808	862	reptile
2	837 m/(s^2)	0.0274 N	soccer	Games and Playable Media	613	478	979	157 m^2	0.0798 m/s	0.1886	0.6304	427	0.0807	948	cat
6	240 m/(s^2)	0.5443 N	golf	Data Science	692	552	579	653 m^2	0.1885 m/s	-0.2217	0.2851	601	1.2359	595	guinea pig
0	335 m/(s^2)	0.6427 N	None	Bioengineering	426	854	778	-42 m^2	0.7209 m/s	0.775	0.6331	156	0.206	150	rabbit
5	175 m/(s^2)	0.5274 N	football	Robotics Engineering	156	203	384	674 m^2	0.7154 m/s	0.2625	-0.0623	1065	0.2919	245	ferret
6	57 m/(s^2)	0.6249 N	golf	Technology and Information Management	741	376	445	802 m^2	0.1776 m/s	-0.0535	0.2793	255	1.0003	792	pig
0	464 m/(s^2)	0.7928 N	BOXING	Bioengineering	352	1248	855	-103 m^2	0.7805 m/s	0.8589	0.8923	496	0.2238	162	rabbit
4	767 m/(s^2)	0.9352 N	ice hockey	Technology and Information Management	1234	872	579	308 m^2	0.4416 m/s	0.5884	0.2185	270	1.0232	539	hamster
5	23 m/(s^2)	0.4645 N	football	Robotics Engineering, Computational Media	258	75	160	542 m^2	0.7062 m/s	0.6138	0.1119	868	0.6536	489	pig
0	276 m/(s^2)	0.6782 N	boxing	Data Science	486	1028	1066	-12 m^2	0.8445 m/s	0.6061	0.8439	65	0.2154	-11	rabbit
0	366 m/(s^2)	0.9249 N	boxing	Bioengineering	373	892	908	-41 m^2	0.8348 m/s	0.6653	0.8033	169	0.4195	-36	rabbit
5	68 m/(s^2)	0.4713 N	soccer	Computer Science	279	-27	434	691 m^2	0.7875 m/s	0.444	-0.208	832	0.4549	231	pig
5	-103 m/(s^2)	0.5952 N	running	Computer Game Design	101	89	125	871 m^2	0.6149 m/s	0.3915	-0.1378	676	0.3343	334	ferret
1	446 m/(s^2)	0.1709 N	badminton	Computer Game Design	-96	75	309	963 m^2	0.2922 m/s	0.5682	0.5872	646	0.6337	140	fish
2	701 m/(s^2)	0.0416 N	soccer	Games and Playable Media, Biotechnology	397	691	958	155 m^2	0.0161 m/s	0.2135	0.2943	537	-0.0347	994	reptile
2	798 m/(s^2)	0.0129 N	soccer	Statistics	681	464	861	284 m^2	0.1988 m/s	0.1821	0.5073	457	-0.0905	976	reptile
5	189 m/(s^2)	0.6254 N	football	Computational Media	421	134	379	529 m^2	0.9426 m/s	0.374	0.0099	776	0.4112	294	ferret
